token,phonemes,ipa,syllables,stress,plosives,fricatives,energy,rhyme_family,archetype
Extinction,E X T I N K T I O N,extinktion,3,100,3,0,0.45,tion,Gatswaai
Extraction,E X T R A K T I O N,extraktion,3,100,3,0,0.45,tion,Gatswaai
Exult,E X U L T,exult,2,10,1,0,0.15,ult,Gatswaai
Eyeball,IY E B A L L,ieball,2,10,1,0,0.15,all,Gatswaai
Fable,F A B L E,fable,1,1,1,1,0.33,ble,Gatswaai
Famine,F A M I N E,famine,2,10,0,1,0.08,ine,Gatswaai
Fanatic,F A N A T I K,fanatik,3,100,2,1,0.38,tic,Gatswaai
Fate,F A T E,fate,1,1,1,1,0.33,ate,Gatswaai
Fathom,F A T H O M,fathom,2,10,1,2,0.31,hom,Gatswaai
Fatigue,F A T I G U E,fatiɡue,2,10,2,1,0.38,gue,Gatswaai
Fault,F A U L T,fault,1,1,1,1,0.33,ult,Gatswaai
Favor,F A V O R,favor,2,10,0,2,0.16,vor,Gatswaai
Feast,F E A S T,feast,1,1,1,2,0.41,ast,Gatswaai
Feral,F E R A L,feral,2,10,0,1,0.08,ral,Gatswaai
Ferocity,F E R O K I T Y,ferokitj,4,1000,2,1,0.38,y,Gatswaai
Fever,F E V E R,fever,2,10,0,2,0.16,ver,Gatswaai
Fiend,F I E N D,fiend,1,1,1,1,0.33,end,Gatswaai
Fierce,F I E R K E,fierke,1,1,1,1,0.33,rce,Gatswaai
Fission,F I S S I O N,fission,2,10,0,3,0.24,sion,Gatswaai
Flame,F L A M E,flame,1,1,0,1,0.18,ame,Gatswaai
Flare,F L A R E,flare,1,1,0,1,0.18,are,Gatswaai
Flash,F L A SH,flaʃ,1,1,0,3,0.34,ash,Gatswaai
Flaw,F L A W,flaw,1,1,0,1,0.18,law,Gatswaai
Flax,F L A X,flax,1,1,0,1,0.18,lax,Gatswaai
Flog,F L O G,floɡ,1,1,1,1,0.33,log,Gatswaai
Foil,F OY L,fɔɪl,1,1,0,1,0.18,oil,Gatswaai
Force,F O R K E,forke,1,1,1,1,0.33,rce,Gatswaai
Forge,F O R G E,forɡe,1,1,1,1,0.33,rge,Gatswaai
Forsake,F O R S A K E,forsake,2,10,1,2,0.31,ake,Gatswaai
Fortress,F O R T R E S S,fortress,2,10,1,3,0.39,ess,Gatswaai
Fossil,F O S S I L,fossil,2,10,0,3,0.24,sil,Gatswaai
Foul,F AW L,faʊl,1,1,0,1,0.18,oul,Gatswaai
Founder,F AW N D E R,faʊnder,2,10,1,1,0.23,der,Gatswaai
Fracture,F R A K T U R E,frakture,2,10,2,1,0.38,ure,Gatswaai
Fragment,F R A G M E N T,fraɡment,2,10,2,1,0.38,ent,Gatswaai
Fras,F R A S,fras,1,1,0,2,0.26,ras,Gatswaai
Fraud,F R A U D,fraud,1,1,1,1,0.33,aud,Gatswaai
Frenzy,F R E N Z Y,frenzj,2,10,0,2,0.16,y,Gatswaai
Frost,F R O S T,frost,1,1,1,2,0.41,ost,Gatswaai
Frugal,F R U G A L,fruɡal,2,10,1,1,0.23,gal,Gatswaai
Fury,F U R Y,furj,2,10,0,1,0.08,y,Gatswaai
Futile,F U T I L E,futile,2,10,1,1,0.23,ile,Gatswaai
Gamble,G A M B L E,ɡamble,1,1,2,0,0.4,ble,Gatswaai
Gangrene,G A N G R E N E,ɡanɡrene,2,10,2,0,0.3,ene,Gatswaai
Gap,G A P,ɡap,1,1,2,0,0.4,gap,Gatswaai
Gape,G A P E,ɡape,1,1,2,0,0.4,ape,Gatswaai
Garbage,G A R B A G E,ɡarbaɡe,2,10,3,0,0.45,age,Gatswaai
Gash,G A SH,ɡaʃ,1,1,1,2,0.41,ash,Gatswaai
Gauge,G A U G E,ɡauɡe,1,1,2,0,0.4,uge,Gatswaai
Gaunt,G A U N T,ɡaunt,1,1,2,0,0.4,unt,Gatswaai
Gavel,G A V E L,ɡavel,2,10,1,1,0.23,vel,Gatswaai
Gear,G E A R,ɡear,1,1,1,0,0.25,ear,Gatswaai
Gene,G E N E,ɡene,1,1,1,0,0.25,ene,Gatswaai
Genesis,G E N E S I S,ɡenesis,3,100,1,2,0.31,sis,Gatswaai
Genocide,G E N O K I D E,ɡenokide,3,100,3,0,0.45,ide,Gatswaai
Germ,G E R M,ɡerm,1,1,1,0,0.25,erm,Gatswaai
Ghastly,G H A S T L Y,ɡhastlj,2,10,2,2,0.46,y,Gatswaai
Ghost,G H O S T,ɡhost,1,1,2,2,0.56,ost,Gatswaai
Giant,G I A N T,ɡiant,1,1,2,0,0.4,ant,Gatswaai
Glean,G L E A N,ɡlean,1,1,1,0,0.25,ean,Gatswaai
Gloom,G L O O M,ɡloom,1,1,1,0,0.25,oom,Gatswaai
Glory,G L O R Y,ɡlorj,2,10,1,0,0.15,y,Gatswaai
Glyph,G L Y P H,ɡljph,1,1,2,1,0.48,yph,Gatswaai
Gnash,G N A SH,ɡnaʃ,1,1,1,2,0.41,ash,Gatswaai
Goblin,G O B L I N,ɡoblin,2,10,2,0,0.3,lin,Gatswaai
God,G O D,ɡod,1,1,2,0,0.4,god,Gatswaai
Gold,G O L D,ɡold,1,1,2,0,0.4,old,Gatswaai
Golem,G O L E M,ɡolem,2,10,1,0,0.15,lem,Gatswaai
Gorge,G O R G E,ɡorɡe,1,1,2,0,0.4,rge,Gatswaai
Grace,G R A K E,ɡrake,1,1,2,0,0.4,ace,Gatswaai
Grade,G R A D E,ɡrade,1,1,2,0,0.4,ade,Gatswaai
Graft,G R A F T,ɡraft,1,1,2,1,0.48,aft,Gatswaai
Grim,G R I M,ɡrim,1,1,1,0,0.25,rim,Gatswaai
Grin,G R I N,ɡrin,1,1,1,0,0.25,rin,Gatswaai
Grind,G R I N D,ɡrind,1,1,2,0,0.4,ind,Gatswaai
Grip,G R I P,ɡrip,1,1,2,0,0.4,rip,Gatswaai
Grisly,G R I S L Y,ɡrislj,2,10,1,1,0.23,y,Gatswaai
Grit,G R I T,ɡrit,1,1,2,0,0.4,rit,Gatswaai
Groan,G R O A N,ɡroan,1,1,1,0,0.25,oan,Gatswaai
Grotesque,G R O T E S Q U E,ɡrotesque,2,10,2,1,0.38,que,Gatswaai
Grove,G R O V E,ɡrove,1,1,1,1,0.33,ove,Gatswaai
Growl,G R AW L,ɡraʊl,1,1,1,0,0.25,owl,Gatswaai
Grudge,G R U D G E,ɡrudɡe,1,1,3,0,0.55,dge,Gatswaai
Grunt,G R U N T,ɡrunt,1,1,2,0,0.4,unt,Gatswaai
Guardian,G U A R D I A N,ɡuardian,2,10,2,0,0.3,ian,Gatswaai
Guerilla,G U E R I L L A,ɡuerilla,3,100,1,0,0.15,lla,Gatswaai
Guild,G U I L D,ɡuild,1,1,2,0,0.4,ild,Gatswaai
Guilt,G U I L T,ɡuilt,1,1,2,0,0.4,ilt,Gatswaai
Gullet,G U L L E T,ɡullet,2,10,2,0,0.3,let,Gatswaai
Gulp,G U L P,ɡulp,1,1,2,0,0.4,ulp,Gatswaai
Gust,G U S T,ɡust,1,1,2,1,0.48,ust,Gatswaai
Gutter,G U T T E R,ɡutter,2,10,3,0,0.45,ter,Gatswaai
Habeas,H A B E A S,habeas,2,10,1,2,0.31,eas,Gatswaai
Habitat,H A B I T A T,habitat,3,100,3,1,0.53,tat,Gatswaai
Hack,H A K K,hakk,1,1,2,1,0.48,ack,Gatswaai
Hades,H A D E S,hades,2,10,1,2,0.31,des,Gatswaai
Hail,H EY L,heɪl,1,1,0,1,0.18,ail,Gatswaai
Halo,H A L O,halo,2,10,0,1,0.08,alo,Gatswaai
Hamper,H A M P E R,hamper,2,10,1,1,0.23,per,Gatswaai
Hanker,H A N K E R,hanker,2,10,1,1,0.23,ker,Gatswaai
Hapless,H A P L E S S,hapless,2,10,1,3,0.39,ess,Gatswaai
Harbor,H A R B O R,harbor,2,10,1,1,0.23,bor,Gatswaai
Hard,H A R D,hard,1,1,1,1,0.33,ard,Gatswaai
Hardship,H A R D SH I P,hardʃip,2,10,2,3,0.54,hip,Gatswaai
Harlot,H A R L O T,harlot,2,10,1,1,0.23,lot,Gatswaai
Harsh,H A R SH,harʃ,1,1,0,3,0.34,rsh,Gatswaai
Hate,H A T E,hate,1,1,1,1,0.33,ate,Gatswaai
Haven,H A V E N,haven,2,10,0,2,0.16,ven,Gatswaai
Hazard,H A Z A R D,hazard,2,10,1,2,0.31,ard,Gatswaai
Haze,H A Z E,haze,1,1,0,2,0.26,aze,Gatswaai
Headlong,H E A D L O N G,headlonɡ,2,10,2,1,0.38,ong,Gatswaai
Heck,H E K K,hekk,1,1,2,1,0.48,eck,Gatswaai
Heed,H E E D,heed,1,1,1,1,0.33,eed,Gatswaai
Heft,H E F T,heft,1,1,1,2,0.41,eft,Gatswaai
Height,H IY G H T,hiɡht,1,1,2,2,0.56,ght,Gatswaai
Heir,H IY R,hir,1,1,0,1,0.18,eir,Gatswaai
Helix,H E L I X,helix,2,10,0,1,0.08,lix,Gatswaai
Hell,H E L L,hell,1,1,0,1,0.18,ell,Gatswaai
Helly,H E L L Y,hellj,2,10,0,1,0.08,y,Gatswaai
Hemp,H E M P,hemp,1,1,1,1,0.33,emp,Gatswaai
Herald,H E R A L D,herald,2,10,1,1,0.23,ald,Gatswaai
Herb,H E R B,herb,1,1,1,1,0.33,erb,Gatswaai
Heresy,H E R E S Y,heresj,3,100,0,2,0.16,y,Gatswaai
Hermit,H E R M I T,hermit,2,10,1,1,0.23,mit,Gatswaai
Hero,H E R O,hero,2,10,0,1,0.08,ero,Gatswaai
Hex,H E X,hex,1,1,0,1,0.18,hex,Gatswaai
Hiatus,H I A T U S,hiatus,2,10,1,2,0.31,tus,Gatswaai
Hibernation,H I B E R N A T I O N,hibernation,4,1000,2,1,0.38,tion,Gatswaai
Hide,H I D E,hide,1,1,1,1,0.33,ide,Gatswaai
Hindsight,H I N D S I G H T,hindsiɡht,2,10,3,3,0.69,ght,Gatswaai
Hippocampus,H I P P O K A M P U S,hippokampus,4,1000,4,2,0.76,pus,Gatswaai
Hit,H I T,hit,1,1,1,1,0.33,hit,Gatswaai
Hive,H I V E,hive,1,1,0,2,0.26,ive,Gatswaai
Hoard,H O A R D,hoard,1,1,1,1,0.33,ard,Gatswaai
Hog,H O G,hoɡ,1,1,1,1,0.33,hog,Gatswaai
Hoist,H OY S T,hɔɪst,1,1,1,2,0.41,ist,Gatswaai
Hold,H O L D,hold,1,1,1,1,0.33,old,Gatswaai
Hollow,H O L L AW,hollaʊ,2,10,0,1,0.08,low,Gatswaai
Holocaust,H O L O K A U S T,holokaust,3,100,2,2,0.46,ust,Gatswaai
Homage,H O M A G E,homaɡe,2,10,1,1,0.23,age,Gatswaai
Homeless,H O M E L E S S,homeless,3,100,0,3,0.24,ess,Gatswaai
Homicide,H O M I K I D E,homikide,3,100,2,1,0.38,ide,Gatswaai
Honest,H O N E S T,honest,2,10,1,2,0.31,est,Gatswaai
Hood,H O O D,hood,1,1,1,1,0.33,ood,Gatswaai
Hoof,H O O F,hoof,1,1,0,2,0.26,oof,Gatswaai
Hook,H O O K,hook,1,1,1,1,0.33,ook,Gatswaai
Horizon,H O R I Z O N,horizon,3,100,0,2,0.16,zon,Gatswaai
Hormone,H O R M O N E,hormone,2,10,0,1,0.08,one,Gatswaai
Horn,H O R N,horn,1,1,0,1,0.18,orn,Gatswaai
Horror,H O R R O R,horror,2,10,0,1,0.08,ror,Gatswaai
Horse,H O R S E,horse,1,1,0,2,0.26,rse,Gatswaai
Host,H O S T,host,1,1,1,2,0.41,ost,Gatswaai
Hostage,H O S T A G E,hostaɡe,2,10,2,2,0.46,age,Gatswaai
Hotbed,H O T B E D,hotbed,2,10,3,1,0.53,bed,Gatswaai
Hour,H AW R,haʊr,1,1,0,1,0.18,our,Gatswaai
House,H AW S E,haʊse,1,1,0,2,0.26,use,Gatswaai
Hover,H O V E R,hover,2,10,0,2,0.16,ver,Gatswaai
Howl,H AW L,haʊl,1,1,0,1,0.18,owl,Gatswaai
Hubris,H U B R I S,hubris,2,10,1,2,0.31,ris,Gatswaai
Hug,H U G,huɡ,1,1,1,1,0.33,hug,Gatswaai
Hulk,H U L K,hulk,1,1,1,1,0.33,ulk,Gatswaai
Hull,H U L L,hull,1,1,0,1,0.18,ull,Gatswaai
Human,H U M A N,human,2,10,0,1,0.08,man,Gatswaai
Humble,H U M B L E,humble,1,1,1,1,0.33,ble,Gatswaai
Humor,H U M O R,humor,2,10,0,1,0.08,mor,Gatswaai
Hurdle,H U R D L E,hurdle,1,1,1,1,0.33,dle,Gatswaai
Hurl,H U R L,hurl,1,1,0,1,0.18,url,Gatswaai
Hurry,H U R R Y,hurrj,2,10,0,1,0.08,y,Gatswaai
Hurt,H U R T,hurt,1,1,1,1,0.33,urt,Gatswaai
Hush,H U SH,huʃ,1,1,0,3,0.34,ush,Gatswaai
Husk,H U S K,husk,1,1,1,2,0.41,usk,Gatswaai
Hustle,H U S T L E,hustle,1,1,1,2,0.41,tle,Gatswaai
Hybrid,H Y B R I D,hjbrid,2,10,2,1,0.38,rid,Gatswaai
Hydra,H Y D R A,hjdra,2,10,1,1,0.23,dra,Gatswaai
Hymn,H Y M N,hjmn,1,1,0,1,0.18,ymn,Gatswaai
Hyper,H Y P E R,hjper,2,10,1,1,0.23,per,Gatswaai
Ice,I K E,ike,1,1,1,0,0.25,ice,Gatswaai
Icon,I K O N,ikon,2,10,1,0,0.15,con,Gatswaai
Ideology,I D E O L O G Y,ideoloɡj,4,1000,2,0,0.3,y,Gatswaai
Ignite,I G N I T E,iɡnite,2,10,2,0,0.3,ite,Gatswaai
Ignominy,I G N O M I N Y,iɡnominj,4,1000,1,0,0.15,y,Gatswaai
Iliad,I L I A D,iliad,2,10,1,0,0.15,iad,Gatswaai
Ill,I L L,ill,1,1,0,0,0.1,ill,Gatswaai
Illegal,I L L E G A L,illeɡal,3,100,1,0,0.15,gal,Gatswaai
Imbalance,I M B A L A N K E,imbalanke,3,100,2,0,0.3,ance,Gatswaai
Imitation,I M I T A T I O N,imitation,4,1000,2,0,0.3,tion,Gatswaai
Immolate,I M M O L A T E,immolate,3,100,1,0,0.15,ate,Gatswaai
Impact,I M P A K T,impakt,2,10,3,0,0.45,act,Gatswaai
Impale,I M P A L E,impale,2,10,1,0,0.15,ale,Gatswaai
Impede,I M P E D E,impede,2,10,2,0,0.3,ede,Gatswaai
Implore,I M P L O R E,implore,2,10,1,0,0.15,ore,Gatswaai
Import,I M P O R T,import,2,10,2,0,0.3,ort,Gatswaai
Impose,I M P O S E,impose,2,10,1,1,0.23,ose,Gatswaai
Impotent,I M P O T E N T,impotent,3,100,3,0,0.45,ent,Gatswaai
Inane,I N A N E,inane,2,10,0,0,0.0,ane,Gatswaai
Incendiary,I N K E N D I A R Y,inkendiarj,4,1000,2,0,0.3,y,Gatswaai
Inception,I N K E P T I O N,inkeption,3,100,3,0,0.45,tion,Gatswaai
Incest,I N K E S T,inkest,2,10,2,1,0.38,est,Gatswaai
Incidence,I N K I D E N K E,inkidenke,3,100,3,0,0.45,ence,Gatswaai
Incident,I N K I D E N T,inkident,3,100,3,0,0.45,ent,Gatswaai
Incline,I N K L I N E,inkline,2,10,1,0,0.15,ine,Gatswaai
Incongruent,I N K O N G R U E N T,inkonɡruent,3,100,3,0,0.45,ent,Gatswaai
Incontinence,I N K O N T I N E N K E,inkontinenke,4,1000,3,0,0.45,ence,Gatswaai
Indent,I N D E N T,indent,2,10,2,0,0.3,ent,Gatswaai
Index,I N D E X,index,2,10,1,0,0.15,dex,Gatswaai
Indict,I N D I K T,indikt,2,10,3,0,0.45,ict,Gatswaai
Indifferent,I N D I F F E R E N T,indifferent,4,1000,2,2,0.46,ent,Gatswaai
Indigent,I N D I G E N T,indiɡent,3,100,3,0,0.45,ent,Gatswaai
Indignation,I N D I G N A T I O N,indiɡnation,4,1000,3,0,0.45,tion,Gatswaai
Indigo,I N D I G O,indiɡo,3,100,2,0,0.3,igo,Gatswaai
Indoctrinate,I N D O K T R I N A T E,indoktrinate,4,1000,4,0,0.6,ate,Gatswaai
Inevitable,I N E V I T A B L E,inevitable,4,1000,2,1,0.38,ble,Gatswaai
Inexorable,I N E X O R A B L E,inexorable,4,1000,1,0,0.15,ble,Gatswaai
Infernal,I N F E R N A L,infernal,3,100,0,1,0.08,nal,Gatswaai
Infidelity,I N F I D E L I T Y,infidelitj,5,10000,2,1,0.38,y,Gatswaai
Infinite,I N F I N I T E,infinite,3,100,1,1,0.23,ite,Gatswaai
Infinity,I N F I N I T Y,infinitj,4,1000,1,1,0.23,y,Gatswaai
Influence,I N F L U E N K E,influenke,2,10,1,1,0.23,ence,Gatswaai
Inform,I N F O R M,inform,2,10,0,1,0.08,orm,Gatswaai
Infringe,I N F R I N G E,infrinɡe,2,10,1,1,0.23,nge,Gatswaai
Infuriate,I N F U R I A T E,infuriate,3,100,1,1,0.23,ate,Gatswaai
Inhale,I N H A L E,inhale,2,10,0,1,0.08,ale,Gatswaai
Inhibit,I N H I B I T,inhibit,3,100,2,1,0.38,bit,Gatswaai
Iniquity,I N I Q U I T Y,iniquitj,4,1000,1,0,0.15,y,Gatswaai
Inmate,I N M A T E,inmate,2,10,1,0,0.15,ate,Gatswaai
Inner,I N N E R,inner,2,10,0,0,0.0,ner,Gatswaai
Innocence,I N N O K E N K E,innokenke,3,100,2,0,0.3,ence,Gatswaai
Innovate,I N N O V A T E,innovate,3,100,1,1,0.23,ate,Gatswaai
Inquest,I N Q U E S T,inquest,2,10,1,1,0.23,est,Gatswaai
Inquire,I N Q U I R E,inquire,2,10,0,0,0.0,ire,Gatswaai
Inquisition,I N Q U I S I T I O N,inquisition,4,1000,1,1,0.23,tion,Gatswaai
Insane,I N S A N E,insane,2,10,0,1,0.08,ane,Gatswaai
Insect,I N S E K T,insekt,2,10,2,1,0.38,ect,Gatswaai
Insert,I N S E R T,insert,2,10,1,1,0.23,ert,Gatswaai
Inside,I N S I D E,inside,2,10,1,1,0.23,ide,Gatswaai
Insight,I N S I G H T,insiɡht,2,10,2,2,0.46,ght,Gatswaai
Insinuate,I N S I N U A T E,insinuate,3,100,1,1,0.23,ate,Gatswaai
Insolvent,I N S O L V E N T,insolvent,3,100,1,2,0.31,ent,Gatswaai
Inspire,I N S P I R E,inspire,2,10,1,1,0.23,ire,Gatswaai
Install,I N S T A L L,install,2,10,1,1,0.23,all,Gatswaai
Instant,I N S T A N T,instant,2,10,2,1,0.38,ant,Gatswaai
Instead,I N S T E A D,instead,2,10,2,1,0.38,ead,Gatswaai
Instinct,I N S T I N K T,instinkt,2,10,3,1,0.53,nct,Gatswaai
Insufficient,I N S U F F I K I E N T,insuffikient,4,1000,2,3,0.54,ent,Gatswaai
Insult,I N S U L T,insult,2,10,1,1,0.23,ult,Gatswaai
Insuperable,I N S U P E R A B L E,insuperable,4,1000,2,1,0.38,ble,Gatswaai
Insure,I N S U R E,insure,2,10,0,1,0.08,ure,Gatswaai
Int,I N T,int,1,1,1,0,0.25,int,Gatswaai
Integer,I N T E G E R,inteɡer,3,100,2,0,0.3,ger,Gatswaai
Integrate,I N T E G R A T E,inteɡrate,3,100,3,0,0.45,ate,Gatswaai
Integrity,I N T E G R I T Y,inteɡritj,4,1000,3,0,0.45,y,Gatswaai
Intense,I N T E N S E,intense,2,10,1,1,0.23,nse,Gatswaai
Intent,I N T E N T,intent,2,10,2,0,0.3,ent,Gatswaai
Inter,I N T E R,inter,2,10,1,0,0.15,ter,Gatswaai
Intercept,I N T E R K E P T,interkept,3,100,4,0,0.6,ept,Gatswaai
Interdict,I N T E R D I K T,interdikt,3,100,4,0,0.6,ict,Gatswaai
Interest,I N T E R E S T,interest,3,100,2,1,0.38,est,Gatswaai
Interim,I N T E R I M,interim,3,100,1,0,0.15,rim,Gatswaai
Interior,I N T E R I O R,interior,3,100,1,0,0.15,ior,Gatswaai
Interject,I N T E R J E K T,interjekt,3,100,3,0,0.45,ect,Gatswaai
Interloper,I N T E R L O P E R,interloper,4,1000,2,0,0.3,per,Gatswaai
Internal,I N T E R N A L,internal,3,100,1,0,0.15,nal,Gatswaai
International,I N T E R N A T I O N A L,international,5,10000,2,0,0.3,nal,Gatswaai
Interpolate,I N T E R P O L A T E,interpolate,4,1000,3,0,0.45,ate,Gatswaai
Interpose,I N T E R P O S E,interpose,3,100,2,1,0.38,ose,Gatswaai
Interpret,I N T E R P R E T,interpret,3,100,3,0,0.45,ret,Gatswaai
Interval,I N T E R V A L,interval,3,100,1,1,0.23,val,Gatswaai
Intervene,I N T E R V E N E,intervene,3,100,1,1,0.23,ene,Gatswaai
Intimidate,I N T I M I D A T E,intimidate,4,1000,3,0,0.45,ate,Gatswaai
Intoxicate,I N T O X I K A T E,intoxikate,4,1000,3,0,0.45,ate,Gatswaai
Intrigue,I N T R I G U E,intriɡue,2,10,2,0,0.3,gue,Gatswaai
Intrude,I N T R U D E,intrude,2,10,2,0,0.3,ude,Gatswaai
Intruder,I N T R U D E R,intruder,3,100,2,0,0.3,der,Gatswaai
Intuit,I N T U I T,intuit,2,10,2,0,0.3,uit,Gatswaai
Invade,I N V A D E,invade,2,10,1,1,0.23,ade,Gatswaai
Invalid,I N V A L I D,invalid,3,100,1,1,0.23,lid,Gatswaai
Invaluable,I N V A L U A B L E,invaluable,3,100,1,1,0.23,ble,Gatswaai
Invasion,I N V A S I O N,invasion,3,100,0,2,0.16,sion,Gatswaai
Invective,I N V E K T I V E,invektive,3,100,2,2,0.46,ive,Gatswaai
Invent,I N V E N T,invent,2,10,1,1,0.23,ent,Gatswaai
Inverse,I N V E R S E,inverse,2,10,0,2,0.16,rse,Gatswaai
Invincible,I N V I N K I B L E,invinkible,3,100,2,1,0.38,ble,Gatswaai
Invite,I N V I T E,invite,2,10,1,1,0.23,ite,Gatswaai
Invoke,I N V O K E,invoke,2,10,1,1,0.23,oke,Gatswaai
Involve,I N V O L V E,involve,2,10,0,2,0.16,lve,Gatswaai
Iota,I O T A,iota,2,10,1,0,0.15,ota,Gatswaai
Iran,I R A N,iran,2,10,0,0,0.0,ran,Gatswaai
Iraq,I R A Q,iraq,2,10,0,0,0.0,raq,Gatswaai
Ire,I R E,ire,1,1,0,0,0.1,ire,Gatswaai
Irk,I R K,irk,1,1,1,0,0.25,irk,Gatswaai
Iron,I R O N,iron,2,10,0,0,0.0,ron,Gatswaai
Irony,I R O N Y,ironj,3,100,0,0,0.0,y,Gatswaai
Islander,I S L A N D E R,islander,3,100,1,1,0.23,der,Gatswaai
Isotope,I S O T O P E,isotope,3,100,2,1,0.38,ope,Gatswaai
Italy,I T A L Y,italj,3,100,1,0,0.15,y,Gatswaai
Ivy,I V Y,ivj,2,10,0,1,0.08,y,Gatswaai
Jack,J A K K,jakk,1,1,2,0,0.4,ack,Gatswaai
Jade,J A D E,jade,1,1,1,0,0.25,ade,Gatswaai
Jail,J EY L,jeɪl,1,1,0,0,0.1,ail,Gatswaai
Jam,J A M,jam,1,1,0,0,0.1,jam,Gatswaai
Jargon,J A R G O N,jarɡon,2,10,1,0,0.15,gon,Gatswaai
Jaunt,J A U N T,jaunt,1,1,1,0,0.25,unt,Gatswaai
Jealousy,J E A L AW S Y,jealaʊsj,3,100,0,1,0.08,y,Gatswaai
Jeopardize,J E O P A R D I Z E,jeopardize,3,100,2,1,0.38,ize,Gatswaai
Jerk,J E R K,jerk,1,1,1,0,0.25,erk,Gatswaai
Jet,J E T,jet,1,1,1,0,0.25,jet,Gatswaai
Jewel,J E W E L,jewel,2,10,0,0,0.0,wel,Gatswaai
Jockey,J O K K IY,jokki,2,10,2,0,0.3,y,Gatswaai
Jocose,J O K O S E,jokose,2,10,1,1,0.23,ose,Gatswaai
Jocular,J O K U L A R,jokular,3,100,1,0,0.15,lar,Gatswaai
Join,J OY N,jɔɪn,1,1,0,0,0.1,oin,Gatswaai
Joke,J O K E,joke,1,1,1,0,0.25,oke,Gatswaai
Jolly,J O L L Y,jollj,2,10,0,0,0.0,y,Gatswaai
Jolt,J O L T,jolt,1,1,1,0,0.25,olt,Gatswaai
Journal,J AW R N A L,jaʊrnal,2,10,0,0,0.0,nal,Gatswaai
Journey,J AW R N IY,jaʊrni,2,10,0,0,0.0,y,Gatswaai
Judicial,J U D I K I A L,judikial,3,100,2,0,0.3,ial,Gatswaai
Juice,J U I K E,juike,1,1,1,0,0.25,ice,Gatswaai
Jumbo,J U M B O,jumbo,2,10,1,0,0.15,mbo,Gatswaai
Jumpy,J U M P Y,jumpj,2,10,1,0,0.15,y,Gatswaai
Junction,J U N K T I O N,junktion,2,10,2,0,0.3,tion,Gatswaai
Junebug,J U N E B U G,junebuɡ,3,100,2,0,0.3,bug,Gatswaai
June,J U N E,june,1,1,0,0,0.1,une,Gatswaai
Junk,J U N K,junk,1,1,1,0,0.25,unk,Gatswaai
Junta,J U N T A,junta,2,10,1,0,0.15,nta,Gatswaai
Jurisdiction,J U R I S D I K T I O N,jurisdiktion,4,1000,3,1,0.53,tion,Gatswaai
Justice,J U S T I K E,justike,2,10,2,1,0.38,ice,Gatswaai
Jury,J U R Y,jurj,2,10,0,0,0.0,y,Gatswaai
Justify,J U S T I F Y,justifj,3,100,1,2,0.31,y,Gatswaai
Kaleidoscope,K A L IY D O S K O P E,kalidoskope,4,1000,4,1,0.68,ope,Gatswaai
Kappa,K A P P A,kappa,2,10,3,0,0.45,ppa,Gatswaai
Kudos,K U D O S,kudos,2,10,2,1,0.38,dos,Gatswaai
Lab,L A B,lab,1,1,1,0,0.25,lab,Gatswaai
Labor,L A B O R,labor,2,10,1,0,0.15,bor,Gatswaai
Lacerate,L A K E R A T E,lakerate,3,100,2,0,0.3,ate,Gatswaai
Laceration,L A K E R A T I O N,lakeration,4,1000,2,0,0.3,tion,Gatswaai
Lack,L A K K,lakk,1,1,2,0,0.4,ack,Gatswaai
Lacquer,L A K Q U E R,lakquer,2,10,1,0,0.15,uer,Gatswaai
Ladder,L A D D E R,ladder,2,10,2,0,0.3,der,Gatswaai
Lade,L A D E,lade,1,1,1,0,0.25,ade,Gatswaai
Lady,L A D Y,ladj,2,10,1,0,0.15,y,Gatswaai
Lair,L EY R,leɪr,1,1,0,0,0.1,air,Gatswaai
Laissez,L EY S S E Z,leɪssez,2,10,0,3,0.24,sez,Gatswaai
Lambda,L A M B D A,lambda,2,10,2,0,0.3,bda,Gatswaai
Lance,L A N K E,lanke,1,1,1,0,0.25,ance,Gatswaai
Land,L A N D,land,1,1,1,0,0.25,and,Gatswaai
Landmark,L A N D M A R K,landmark,2,10,2,0,0.3,ark,Gatswaai
Lane,L A N E,lane,1,1,0,0,0.1,ane,Gatswaai
Lap,L A P,lap,1,1,1,0,0.25,lap,Gatswaai
Lapse,L A P S E,lapse,1,1,1,1,0.33,pse,Gatswaai
Larceny,L A R K E N Y,larkenj,3,100,1,0,0.15,y,Gatswaai
Lard,L A R D,lard,1,1,1,0,0.25,ard,Gatswaai
Large,L A R G E,larɡe,1,1,1,0,0.25,rge,Gatswaai
Lash,L A SH,laʃ,1,1,0,2,0.26,ash,Gatswaai
Lass,L A S S,lass,1,1,0,2,0.26,ass,Gatswaai
Lately,L A T E L Y,latelj,3,100,1,0,0.15,y,Gatswaai
Later,L A T E R,later,2,10,1,0,0.15,ter,Gatswaai
Latitude,L A T I T U D E,latitude,3,100,3,0,0.45,ude,Gatswaai
Latrine,L A T R I N E,latrine,2,10,1,0,0.15,ine,Gatswaai
Laugh,L A U G H,lauɡh,1,1,1,1,0.33,ugh,Gatswaai
Launch,L A U N K H,launkh,1,1,1,1,0.33,nch,Gatswaai
Laundry,L A U N D R Y,laundrj,2,10,1,0,0.15,y,Gatswaai
Lava,L A V A,lava,2,10,0,1,0.08,ava,Gatswaai
Law,L A W,law,1,1,0,0,0.1,law,Gatswaai
